Div_x,Date,Time,HomeTeam,AwayTeam,oddsHome,oddsDrawn,oddsAway,GoalHome,GoalAway,Result,Div_y,B365H,B365D,B365A
E0,22/12,15:00,Bournemouth,Brighton,46,28,26,2,0,0,E0,1.9,3.7,4.33
E0,22/12,15:00,West Ham,Watford,52,27,21,0,2,2,E0,2.37,3.5,3.1
E0,22/12,15:00,Huddersfield,Southampton,36,29,35,1,3,2,E0,3.1,3.1,2.6
I1,22/12,14:00,Udinese,Frosinone,48,30,22,1,1,1,I1,1.7,3.7,5.25
I1,22/12,14:00,Empoli,Sampdoria,39,32,29,2,4,2,I1,2.3,3.4,3.1
I1,22/12,14:00,Sassuolo,Torino,40,32,28,1,1,1,I1,2.62,3.2,2.8
I1,22/12,14:00,Genoa,Atalanta,27,31,42,3,1,0,I1,4.0,3.6,1.9
I1,22/12,11:30,Lazio,Cagliari,65,24,11,3,1,0,I1,1.33,5.0,9.0
E0,21/12,20:00,Wolves,Liverpool,16,25,59,0,2,2,E0,7.0,4.0,1.57
F1,18/12,18:30,Caen,Toulouse,41,31,28,2,1,0,F1,2.5,3.1,3.1
I1,17/12,19:30,Atalanta,Lazio,37,32,31,1,0,0,I1,2.37,3.39,3.0
I1,17/12,19:30,Atalanta,Lazio,37,32,31,1,0,0,I1,2.2,3.6,3.1
SP1,16/12,19:45,Levante,Barcelona,16,24,60,0,5,2,SP1,9.0,6.5,1.25
I1,16/12,19:30,Roma,Genoa,73,19,8,3,2,0,I1,1.44,4.75,7.0
SP1,16/12,17:30,Huesca,Villarreal,29,29,42,2,2,1,SP1,3.5,3.2,2.14
I1,16/12,17:00,Cagliari,Napoli,12,24,64,0,1,2,I1,7.5,4.5,1.44
E0,16/12,16:00,Liverpool,Man United,55,26,19,3,1,0,E0,1.57,4.5,6.0
I1,16/12,14:00,Sampdoria,Parma,50,30,20,2,0,0,I1,1.83,3.6,4.5
I1,16/12,14:00,Fiorentina,Empoli,55,28,17,3,1,0,I1,1.75,3.75,4.75
I1,16/12,14:00,Frosinone,Sassuolo,31,32,37,0,2,2,I1,3.6,3.5,2.04
E0,16/12,13:30,Southampton,Arsenal,16,25,59,3,2,0,E0,4.1,3.9,1.9
E0,16/12,13:30,Brighton,Chelsea,19,26,55,1,2,2,E0,7.5,4.5,1.5
,16/12,12:00,Lyon,Monaco,49,29,22,3,0,0,F1,1.44,4.75,7.0
SP1,16/12,11:00,Sevilla,Girona,60,24,16,2,0,0,SP1,1.44,4.5,7.0
SP1,15/12,19:45,Eibar,Valencia,37,29,34,1,1,1,SP1,2.7,3.2,2.7
I1,15/12,19:30,Torino,Juventus,12,25,63,0,1,2,I1,6.5,3.6,1.61
